id,manufacturer,device,module_role,sensor_name,optical_format,sensor_width_mm,sensor_height_mm,dimension_method,confidence,source_title,source_url,notes
google_pixel_6_rear_main,Google,Pixel 6,rear_main,,"1/1.31""",9.771,7.328,optical_format_conversion,probable,Google Pixel hardware tech specs,https://support.google.com/pixelphone/answer/7158570?hl=en,Google publishes 1/1.31-inch main sensor.
google_pixel_6_rear_ultrawide,Google,Pixel 6,rear_ultrawide,,"1/2.9""",4.414,3.31,optical_format_conversion,provisional,Compiled Pixel camera specification,,
google_pixel_6_pro_rear_main,Google,Pixel 6 Pro,rear_main,,"1/1.31""",9.771,7.328,optical_format_conversion,probable,Google Pixel hardware tech specs,https://support.google.com/pixelphone/answer/7158570?hl=en,Google publishes 1/1.31-inch main sensor.
google_pixel_6_pro_rear_ultrawide,Google,Pixel 6 Pro,rear_ultrawide,,"1/2.9""",4.414,3.31,optical_format_conversion,provisional,Compiled Pixel camera specification,,
google_pixel_6_pro_rear_telephoto,Google,Pixel 6 Pro,rear_telephoto,,"1/2.0""",6.4,4.8,optical_format_conversion,probable,Google Pixel hardware tech specs,https://support.google.com/pixelphone/answer/7158570?hl=en,Google publishes 1/2-inch telephoto sensor.
google_pixel_6a_rear_main,Google,Pixel 6a,rear_main,,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,Compiled Pixel camera specification,,Older 12.2 MP main; exact format requires source audit.
google_pixel_6a_rear_ultrawide,Google,Pixel 6a,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled Pixel camera specification,,
google_pixel_7_rear_main,Google,Pixel 7,rear_main,,"1/1.31""",9.771,7.328,optical_format_conversion,probable,PhoneArena / Google,https://www.phonearena.com/phones/Google-Pixel-7-Pro_id11907,
google_pixel_7_rear_ultrawide,Google,Pixel 7,rear_ultrawide,,"1/2.9""",4.414,3.31,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-7-Pro_id11907,
google_pixel_7_pro_rear_main,Google,Pixel 7 Pro,rear_main,,"1/1.31""",9.771,7.328,optical_format_conversion,probable,PhoneArena / Google,https://www.phonearena.com/phones/Google-Pixel-7-Pro_id11907,
google_pixel_7_pro_rear_ultrawide,Google,Pixel 7 Pro,rear_ultrawide,,"1/2.9""",4.414,3.31,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-7-Pro_id11907,
google_pixel_7_pro_rear_telephoto,Google,Pixel 7 Pro,rear_telephoto,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-7-Pro_id11907,
google_pixel_7a_rear_main,Google,Pixel 7a,rear_main,,"1/1.73""",7.399,5.549,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_7a_rear_ultrawide,Google,Pixel 7a,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_8_rear_main,Google,Pixel 8,rear_main,,"1/1.31""",9.771,7.328,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-8_id12143,
google_pixel_8_rear_ultrawide,Google,Pixel 8,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_8_pro_rear_main,Google,Pixel 8 Pro,rear_main,Samsung S5KGM5,"1/1.31""",9.771,7.328,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-8-Pro_id12144,
google_pixel_8_pro_rear_ultrawide,Google,Pixel 8 Pro,rear_ultrawide,,"1/2.0""",6.4,4.8,optical_format_conversion,probable,Compiled Pixel specification,,48 MP 0.8 µm class; optical format requires audit.
google_pixel_8_pro_rear_telephoto,Google,Pixel 8 Pro,rear_telephoto,Sony IMX787,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-8-Pro_id12144,
google_pixel_8a_rear_main,Google,Pixel 8a,rear_main,,"1/1.73""",7.399,5.549,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-8a_id12219,
google_pixel_8a_rear_ultrawide,Google,Pixel 8a,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_9_rear_main,Google,Pixel 9,rear_main,Samsung ISOCELL GNK,"1/1.31""",9.771,7.328,optical_format_conversion,probable,Google / PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_rear_ultrawide,Google,Pixel 9,rear_ultrawide,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_pro_rear_main,Google,Pixel 9 Pro,rear_main,Samsung ISOCELL GNK,"1/1.31""",9.771,7.328,optical_format_conversion,probable,Google / PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_pro_rear_ultrawide,Google,Pixel 9 Pro,rear_ultrawide,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
