record_id,record_class,manufacturer,device_model,device_variant,module_role,sensor_model,sensor_width_mm,sensor_height_mm,sensor_diagonal_mm,source_observation,provenance_method,evidence_tier,lcrd_status,tps_use,original_confidence,original_verification_status,source_title,source_url,usage_note,qa_flags,notes,coverage_priority,cutoff_reason,cutoff_note,audit_priority,qa_pass4_flags,freeze_qa_flags,v0_1_release_status
arri_alexa_35,dedicated_camera,ARRI,ALEXA 35,,main,,27.99,19.22,33.9536,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV 4 specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
arri_alexa_35_xtreme,dedicated_camera,ARRI,ALEXA 35 Xtreme,,main,,27.99,19.22,33.9536,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV 4 specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
arri_alexa_lf,dedicated_camera,ARRI,ALEXA LF,,main,,36.7,25.54,44.7122,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV 3 A2X specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
arri_alexa_mini,dedicated_camera,ARRI,ALEXA Mini,,main,,28.17,18.13,33.4999,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
arri_alexa_mini_lf,dedicated_camera,ARRI,ALEXA Mini LF,,main,,36.7,25.54,44.7122,,published,A,verified,yes,confirmed,primary_source_verified,ARRI ALEV 3 A2X specifications,https://www.arri.com/en/camera-systems/cameras/alexa-mini-lf,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
arri_amira,dedicated_camera,ARRI,AMIRA,,main,,28.17,18.13,33.4999,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
arri_sxt,dedicated_camera,ARRI,SXT,,main,,28.17,18.13,33.4999,,published,C,good_reference,yes,confirmed,compiled_spec_value,ARRI ALEV III sensor specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
blackmagic_cinema_camera_thunderbolt,dedicated_camera,Blackmagic,Cinema Camera (Thunderbolt),,main,,15.81,8.88,18.1331,,published,C,good_reference,yes,confirmed,compiled_spec_value,Blackmagic Cinema Camera 2.5K specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
blackmagic_cinema_camera_6k,dedicated_camera,Blackmagic,Cinema Camera 6K,,main,,36.0,24.0,43.2666,,published,A,verified,yes,confirmed,primary_source_verified,Blackmagic Design specifications,https://www.blackmagicdesign.com/products/blackmagiccinemacamera/techspecs,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
blackmagic_production_camera_4k_thunderbolt,dedicated_camera,Blackmagic,Production Camera 4K (Thunderbolt),,main,,21.12,11.88,24.232,,published,C,good_reference,yes,confirmed,compiled_spec_value,Blackmagic Production Camera 4K specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1000d,dedicated_camera,Canon,EOS 1000D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_100d,dedicated_camera,Canon,EOS 100D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1100d,dedicated_camera,Canon,EOS 1100D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1200d,dedicated_camera,Canon,EOS 1200D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1300d,dedicated_camera,Canon,EOS 1300D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_c,dedicated_camera,Canon,EOS 1D C,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_mark_iii,dedicated_camera,Canon,EOS 1D Mark III,,main,,28.1,18.7,33.7535,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_mark_iv,dedicated_camera,Canon,EOS 1D Mark IV,,main,,27.9,18.6,33.5316,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_x,dedicated_camera,Canon,EOS 1D X,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_x_mark_ii,dedicated_camera,Canon,EOS 1D X Mark II,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1d_x_mark_iii,dedicated_camera,Canon,EOS 1D X Mark III,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_1ds_mark_iii,dedicated_camera,Canon,EOS 1Ds Mark III,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_2000d,dedicated_camera,Canon,EOS 2000D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_200d,dedicated_camera,Canon,EOS 200D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
