id,manufacturer,model,aliases,dragonframe_supported,sensor_width_mm,sensor_height_mm,dimension_status,provenance_method,confidence,verification_status,source_note,source_url,coverage_class
canon_eos_c50,Canon,EOS C50,,True,35.9,23.9,complete,published,confirmed,primary_source_verified,Canon EOS C50 specifications,https://www.usa.canon.com/support/p/eos-c50,physical_camera
canon_eos_r1,Canon,EOS R1,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r,Canon,EOS R,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_rp,Canon,EOS RP,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r3,Canon,EOS R3,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r5,Canon,EOS R5,,True,36.0,24.0,complete,published,confirmed,primary_source_verified_previous_pass,Canon specifications,,physical_camera
canon_eos_r5_mark_ii,Canon,EOS R5 Mark II,,True,36.0,24.0,complete,published,confirmed,primary_source_verified_previous_pass,Canon specifications,,physical_camera
canon_eos_r5_c,Canon,EOS R5 C,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r6,Canon,EOS R6,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r6_mark_ii,Canon,EOS R6 Mark II,,True,35.9,23.9,complete,published,confirmed,primary_source_verified_previous_pass,Canon specifications,,physical_camera
canon_eos_r6_mark_iii,Canon,EOS R6 Mark III,,True,35.9,23.9,complete,published,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r6-mark-iii,physical_camera
canon_eos_r6_mark_v,Canon,EOS R6 Mark V,,True,,,model_identity_unresolved,unresolved,unresolved,not_single_resolvable_sensor,Could not resolve this as a Canon camera model; verify Dragonframe row/normalization.,,physical_camera
canon_eos_r7,Canon,EOS R7,,True,22.3,14.8,complete,published,confirmed,primary_source_verified_previous_pass,Canon specifications,,physical_camera
canon_eos_r8,Canon,EOS R8,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r10,Canon,EOS R10,,True,22.3,14.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r50,Canon,EOS R50,,True,22.3,14.9,complete,published,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r50,physical_camera
canon_eos_r50_v,Canon,EOS R50 V,,True,22.3,14.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_r100,Canon,EOS R100,,True,22.3,14.9,complete,published,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r100,physical_camera
canon_eos_1d_mark_iii,Canon,EOS 1D Mark III,,True,28.1,18.7,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1ds_mark_iii,Canon,EOS 1Ds Mark III,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1d_mark_iv,Canon,EOS 1D Mark IV,,True,27.9,18.6,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1d_x,Canon,EOS 1D X,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1d_x_mark_ii,Canon,EOS 1D X Mark II,,True,35.9,23.9,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1d_x_mark_iii,Canon,EOS 1D X Mark III,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_1d_c,Canon,EOS 1D C,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_5d_mark_ii,Canon,EOS 5D Mark II,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_5d_mark_iii,Canon,EOS 5D Mark III,,True,36.0,24.0,complete,published,confirmed,compiled_spec_value,Canon specifications,,physical_camera
canon_eos_5d_mark_iv,Canon,EOS 5D Mark IV,,True,36.0,24.0,complete,published,confirmed,primary_source_verified_previous_pass,Canon specifications,,physical_camera
