aliases,audit_priority,confidence,coverage_class,coverage_priority,cutoff_note,cutoff_reason,device,device_model,device_variant,dimension_method,dimension_status,dragonframe_supported,evidence_tier,freeze_qa_flags,id,kind,lcrd_status,manufacturer,model,module_role,notes,observation_id,optical_format,original_confidence,original_verification_status,platform_priority,provenance_method,qa_flags,qa_pass4_flags,record_class,record_id,sensor_diagonal_mm,sensor_height_mm,sensor_model,sensor_name,sensor_width_mm,source_id,source_note,source_observation,source_title,source_type,source_url,subject_id,tps_use,usage_note,v0_1_release_status,verification_status
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro Max,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Source reports Type 1/2.55.,observation:apple-iphone-11-pro-max-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_max_rear_main,7.0,4.2,,,5.6,source:phonearena:c690d89c5e8260e8,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro-max:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro Max,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_telephoto,Source reports Type 1/3.4.,observation:apple-iphone-11-pro-max-rear-telephoto,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_max_rear_telephoto,5.0,3.0,,,4.0,source:phonearena:c690d89c5e8260e8,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro-max:rear-telephoto,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro Max,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4 class; exact active dimensions need audit.,observation:apple-iphone-11-pro-max-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_max_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-phonearena-family-specification:8284b05ffc809e09,,,Compiled/PhoneArena family specification,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro-max:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Source reports Type 1/2.55.,observation:apple-iphone-11-pro-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_rear_main,7.0,4.2,,,5.6,source:phonearena:c690d89c5e8260e8,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_telephoto,Source reports Type 1/3.4.,observation:apple-iphone-11-pro-rear-telephoto,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_rear_telephoto,5.0,3.0,,,4.0,source:phonearena:c690d89c5e8260e8,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro:rear-telephoto,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4 class; exact active dimensions need audit.,observation:apple-iphone-11-pro-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_pro_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-phonearena-family-specification:8284b05ffc809e09,,,Compiled/PhoneArena family specification,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11-pro:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Source reports Type 1/2.55.,observation:apple-iphone-11-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_rear_main,7.0,4.2,,,5.6,source:phonearena:4408535abb369192,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-11_id11175,camera_module:apple:iphone-11:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 11,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4 class; exact active dimensions need audit.,observation:apple-iphone-11-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_11_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-phonearena-family-specification:8284b05ffc809e09,,,Compiled/PhoneArena family specification,,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,camera_module:apple:iphone-11:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 mini,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Type 1/2.55 class.,observation:apple-iphone-12-mini-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_mini_rear_main,7.0,4.2,,,5.6,source:phonearena:0a39e7151262f169,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-mini:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 mini,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.,observation:apple-iphone-12-mini-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_mini_rear_ultrawide,5.0,3.0,,,4.0,source:dxomark-phonearena:9749d5af351ea731,,,DXOMARK / PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-mini:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
