id,manufacturer,device,module_role,optical_format,sensor_width_mm,sensor_height_mm,dimension_method,confidence,verification_status,source_title,source_url,notes
xiaomi_xiaomi_12_rear_main,Xiaomi,Xiaomi 12,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12_rear_ultrawide,Xiaomi,Xiaomi 12,rear_ultrawide,"1/2.4""",5.333,4.0,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12_pro_rear_main,Xiaomi,Xiaomi 12 Pro,rear_main,"1/1.28""",10.0,7.5,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12_pro_rear_ultrawide,Xiaomi,Xiaomi 12 Pro,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12_pro_rear_telephoto,Xiaomi,Xiaomi 12 Pro,rear_telephoto,"1/3.4""",3.765,2.824,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12t_rear_main,Xiaomi,Xiaomi 12T,rear_main,"1/1.22""",10.492,7.869,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12t_rear_ultrawide,Xiaomi,Xiaomi 12T,rear_ultrawide,"1/2.2""",5.818,4.364,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12t_pro_rear_main,Xiaomi,Xiaomi 12T Pro,rear_main,"1/1.22""",10.492,7.869,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_12t_pro_rear_ultrawide,Xiaomi,Xiaomi 12T Pro,rear_ultrawide,"1/2.2""",5.818,4.364,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_rear_main,Xiaomi,Xiaomi 13,rear_main,"1/1.49""",8.591,6.443,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_rear_ultrawide,Xiaomi,Xiaomi 13,rear_ultrawide,"1/3.06""",4.183,3.137,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_rear_telephoto,Xiaomi,Xiaomi 13,rear_telephoto,"1/3.75""",3.413,2.56,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_pro_rear_main,Xiaomi,Xiaomi 13 Pro,rear_main,"1/1.0""",12.8,9.6,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_pro_rear_ultrawide,Xiaomi,Xiaomi 13 Pro,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_pro_rear_telephoto,Xiaomi,Xiaomi 13 Pro,rear_telephoto,"1/3.75""",3.413,2.56,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_ultra_rear_main,Xiaomi,Xiaomi 13 Ultra,rear_main,"1/1.0""",12.8,9.6,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_ultra_rear_ultrawide,Xiaomi,Xiaomi 13 Ultra,rear_ultrawide,"1/2.51""",5.1,3.825,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_13_ultra_rear_telephoto,Xiaomi,Xiaomi 13 Ultra,rear_telephoto,"1/2.51""",5.1,3.825,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_rear_main,Xiaomi,Xiaomi 14,rear_main,"1/1.31""",9.771,7.328,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_rear_ultrawide,Xiaomi,Xiaomi 14,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_rear_telephoto,Xiaomi,Xiaomi 14,rear_telephoto,"1/3.6""",3.556,2.667,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_pro_rear_main,Xiaomi,Xiaomi 14 Pro,rear_main,"1/1.31""",9.771,7.328,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_pro_rear_ultrawide,Xiaomi,Xiaomi 14 Pro,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_14_pro_rear_telephoto,Xiaomi,Xiaomi 14 Pro,rear_telephoto,"1/3.6""",3.556,2.667,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
