id,manufacturer,device,platform_priority,module_role,sensor_width_mm,sensor_height_mm,dimension_method,confidence,source_title,source_url,notes
apple_iphone_xr_rear_main,Apple,iPhone XR,security_supported_legacy,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena / Type 1/2.55 reference,https://www.phonearena.com/phones/Apple-iPhone-XR_id10765,Current security-supported legacy tier; dimensions normalized from Type 1/2.55 optical format.
apple_iphone_xs_rear_main,Apple,iPhone XS,security_supported_legacy,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena / Type 1/2.55 reference,https://www.phonearena.com/phones/Apple-iPhone-XR_id10765,Current security-supported legacy tier; dimensions normalized from Type 1/2.55 optical format.
apple_iphone_xs_max_rear_main,Apple,iPhone XS Max,security_supported_legacy,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena / Type 1/2.55 reference,https://www.phonearena.com/phones/Apple-iPhone-XR_id10765,Current security-supported legacy tier; dimensions normalized from Type 1/2.55 optical format.
apple_iphone_xs_rear_telephoto,Apple,iPhone XS,security_supported_legacy,rear_telephoto,4.0,3.0,optical_format_conversion,provisional,Compiled camera specification,,Needs source-link audit; Type ~1/3.4 class.
apple_iphone_xs_max_rear_telephoto,Apple,iPhone XS Max,security_supported_legacy,rear_telephoto,4.0,3.0,optical_format_conversion,provisional,Compiled camera specification,,Needs source-link audit; Type ~1/3.4 class.
apple_iphone_11_rear_main,Apple,iPhone 11,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-11_id11175,Source reports Type 1/2.55.
apple_iphone_11_rear_ultrawide,Apple,iPhone 11,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,Compiled/PhoneArena family specification,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Type ~1/3.4 class; exact active dimensions need audit.
apple_iphone_11_pro_rear_main,Apple,iPhone 11 Pro,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Source reports Type 1/2.55.
apple_iphone_11_pro_rear_ultrawide,Apple,iPhone 11 Pro,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,Compiled/PhoneArena family specification,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Type ~1/3.4 class; exact active dimensions need audit.
apple_iphone_11_pro_max_rear_main,Apple,iPhone 11 Pro Max,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Source reports Type 1/2.55.
apple_iphone_11_pro_max_rear_ultrawide,Apple,iPhone 11 Pro Max,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,Compiled/PhoneArena family specification,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Type ~1/3.4 class; exact active dimensions need audit.
apple_iphone_11_pro_rear_telephoto,Apple,iPhone 11 Pro,current_os_supported,rear_telephoto,4.0,3.0,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Source reports Type 1/3.4.
apple_iphone_11_pro_max_rear_telephoto,Apple,iPhone 11 Pro Max,current_os_supported,rear_telephoto,4.0,3.0,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-11-Pro_id11239,Source reports Type 1/3.4.
apple_iphone_se_2nd_generation_rear_main,Apple,iPhone SE (2nd generation),current_os_supported,rear_main,4.8,3.6,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Source reports Type 1/3; SE3 carried forward same basic camera geometry pending individual audit.
apple_iphone_se_3rd_generation_rear_main,Apple,iPhone SE (3rd generation),current_os_supported,rear_main,4.8,3.6,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-SE-2020_id10750,Source reports Type 1/3; SE3 carried forward same basic camera geometry pending individual audit.
apple_iphone_12_mini_rear_main,Apple,iPhone 12 mini,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type 1/2.55 class.
apple_iphone_12_mini_rear_ultrawide,Apple,iPhone 12 mini,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,DXOMARK / PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.
apple_iphone_12_rear_main,Apple,iPhone 12,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type 1/2.55 class.
apple_iphone_12_rear_ultrawide,Apple,iPhone 12,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,DXOMARK / PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.
apple_iphone_12_pro_rear_main,Apple,iPhone 12 Pro,current_os_supported,rear_main,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type 1/2.55 class.
apple_iphone_12_pro_rear_ultrawide,Apple,iPhone 12 Pro,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,DXOMARK / PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.
apple_iphone_12_pro_rear_telephoto,Apple,iPhone 12 Pro,current_os_supported,rear_telephoto,4.0,3.0,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Type 1/3.4.
apple_iphone_12_pro_max_rear_main,Apple,iPhone 12 Pro Max,current_os_supported,rear_main,6.85,5.14,area_and_pixel_pitch_reconstruction,probable,Apple/DPReview compiled,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,Apple states 47% larger than 12 Pro and 1.7 µm pixels; normalized active dimensions.
